Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mutlu, Bilge; Shiwa, Toshiyuki; Kanda, Takayuki; Ishiguro, Hiroshi; Hagita, Norihiro; ",Footing in human-robot conversations: how robots might shape participant roles using gaze cues,Proceedings of the 4th ACM/IEEE international conference on Human robot interaction,,,61-68,2009,ACM
"Mutlu, Bilge; Forlizzi, Jodi; Hodgins, Jessica; ",A storytelling robot: Modeling and evaluation of human-like gaze behavior,"Humanoid Robots, 2006 6th IEEE-RAS International Conference on",,,518-523,2006,IEEE
"Mutlu, Bilge; Osman, Steven; Forlizzi, Jodi; Hodgins, Jessica; Kiesler, Sara; ",Task structure and user attributes as elements of human-robot interaction design,ROMAN 2006-The 15th IEEE International Symposium on Robot and Human Interactive Communication,,,74-79,2006,IEEE
"Mutlu, Bilge; Forlizzi, Jodi; ","Robots in organizations: the role of workflow, social, and environmental factors in human-robot interaction",Proceedings of the 3rd ACM/IEEE international conference on Human robot interaction,,,287-294,2008,ACM
"Mutlu, Bilge; Yamaoka, Fumitaka; Kanda, Takayuki; Ishiguro, Hiroshi; Hagita, Norihiro; ",Nonverbal leakage in robots: communication of intentions through seemingly unintentional behavior,Proceedings of the 4th ACM/IEEE international conference on Human robot interaction,,,69-76,2009,ACM
"Mutlu, Bilge; Osman, Steven; Forlizzi, Jodi; Hodgins, Jessica; Kiesler, Sara; ",Perceptions of ASIMO: an exploration on co-operation and competition with humans and humanoid robots,Proceedings of the 1st ACM SIGCHI/SIGART conference on Human-robot interaction,,,351-352,2006,ACM
"Keyani, Pedram; Hsieh, Gary; Mutlu, Bilge; Easterday, Matthew; Forlizzi, Jodi; ",DanceAlong: supporting positive social exchange and exercise for the elderly through dance,CHI'05 extended abstracts on Human factors in computing systems,,,1541-1544,2005,
"Mutlu, Bilge; Krause, Andreas; Forlizzi, Jodi; Guestrin, Carlos; Hodgins, Jessica; ","Robust, low-cost, non-intrusive sensing and recognition of seated postures",Proceedings of the 20th annual ACM symposium on User interface software and technology,,,149-158,2007,
"Forlizzi, Jodi; DiSalvo, Carl; Zimmerman, John; Mutlu, Bilge; Hurst, Amy; ",The SenseChair: The lounge chair as an intelligent assistive device for elders,Proceedings of the 2005 conference on Designing for User eXperience,,,31,2005,AIGA: American Institute of Graphic Arts
"Mutlu, Bilge; Forlizzi, Jodi; Nourbakhsh, Illah; Hodgins, Jessica; ",The use of abstraction and motion in the design of social interfaces,Proceedings of the 6th conference on Designing Interactive systems,,,251-260,2006,
"Mutlu, Bilge; Er, Alpay; ",Design innovation: historical and theoretical perspectives on product innovation by design,5th European Academy of Design Conference,,,,2003,
